BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_004343195.1_ASM434319v1_genomic_NZ_SMCR01000006.1.region001	NZ_SMCR01000006.1	Biostraticola tofi strain DSM 19580 Ga0244679_106, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Biostraticola tofi	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Biostraticola
GCF_004345645.1_ASM434564v1_genomic_NZ_SLWS01000002.1.region007	NZ_SLWS01000002.1	Actinocrispum wychmicini strain DSM 45934 Ga0310477_102, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinocrispum wychmicini	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinocrispum
GCF_004353845.1_ASM435384v1_genomic_NZ_CP037864.1.region001	NZ_CP037864.1	Citrobacter arsenatis strain LY-1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Citrobacter arsenatis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
GCF_004358165.1_ASM435816v1_genomic_NZ_SMTG01000002.1.region001	NZ_SMTG01000002.1	Luteimonas terrae strain THG-MD21 Scaffold1_2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Luteimonas terrae	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
GCF_004362215.1_ASM436221v1_genomic_NZ_SNWR01000002.1.region006	NZ_SNWR01000002.1	Actinoplanes brasiliensis strain DSM 43805 Ga0197474_12, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinoplanes brasiliensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
GCF_004362495.1_ASM436249v1_genomic_NZ_SNXK01000002.1.region002	NZ_SNXK01000002.1	Nocardia ignorata strain DSM 44496 Ga0244500_102, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nocardia ignorata	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_004362495.1_ASM436249v1_genomic_NZ_SNXK01000002.1.region003	NZ_SNXK01000002.1	Nocardia ignorata strain DSM 44496 Ga0244500_102, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS.terpene	Others	Nocardia ignorata	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_004362495.1_ASM436249v1_genomic_NZ_SNXK01000002.1.region004	NZ_SNXK01000002.1	Nocardia ignorata strain DSM 44496 Ga0244500_102, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nocardia ignorata	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_004362515.1_ASM436251v1_genomic_NZ_SNXU01000001.1.region008	NZ_SNXU01000001.1	Actinokineospora alba strain DSM 45114 Ga0197470_11, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinokineospora alba	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora
GCF_004362695.1_ASM436269v1_genomic_NZ_SNYE01000009.1.region001	NZ_SNYE01000009.1	Phyllobacterium brassicacearum strain 29-15 Ga0215880_109, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Phyllobacterium brassicacearum	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium
GCF_004363075.1_ASM436307v1_genomic_NZ_SNYN01000012.1.region001	NZ_SNYN01000012.1	Actinorugispora endophytica strain DSM 46770 Ga0310471_112, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinorugispora endophytica	Bacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Actinorugispora
GCF_004363095.1_ASM436309v1_genomic_NZ_SNYO01000001.1.region002	NZ_SNYO01000001.1	Actinomycetospora succinea strain DSM 45775 Ga0310463_101, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinomycetospora succinea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora
GCF_004364315.1_ASM436431v1_genomic_NZ_SOBR01000002.1.region002	NZ_SOBR01000002.1	Chromohalobacter marismortui strain DSM 6770 Ga0215682_102, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Chromohalobacter marismortui	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter
GCF_004364445.1_ASM436444v1_genomic_NZ_SOCZ01000016.1.region001	NZ_SOCZ01000016.1	Halomonas alkaliantarctica strain CRSS Ga0075188_116, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Halomonas alkaliantarctica	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
GCF_004382795.1_ASM438279v1_genomic_NZ_SMSG01000001.1.region004	NZ_SMSG01000001.1	Cumulibacter soli strain G-1 X-2_scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Cumulibacter soli	Bacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Cumulibacter
GCF_004402975.1_ASM440297v1_genomic_NZ_SNVI01000002.1.region002	NZ_SNVI01000002.1	Paraburkholderia dipogonis strain ICMP 19430 tig00000050, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Paraburkholderia dipogonis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
GCF_004421105.1_ASM442110v1_genomic_NZ_CP038033.1.region004	NZ_CP038033.1	Nitrosococcus wardiae strain D1FHS chromosome, complete genome	NRP-siderophore.NRPS	Others	Nitrosococcus wardiae	Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus
GCF_004522065.1_ASM452206v1_genomic_NZ_SPUH01000001.1.region001	NZ_SPUH01000001.1	Luteimonas yindakuii strain 1626 Scaffold1_1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Luteimonas yindakuii	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
GCF_004522235.1_ASM452223v1_genomic_NZ_SDLT01000025.1.region001	NZ_SDLT01000025.1	Amycolatopsis nivea strain CFH S0261 Scaffold25, whole genome shotgun sequence	NAPAA.NRPS.NRP-siderophore.redox-cofactor.betalactone	Others	Amycolatopsis nivea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_004551575.1_ASM455157v1_genomic_NZ_CP037883.1.region003	NZ_CP037883.1	Stenotrophomonas indicatrix strain DAIF1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Stenotrophomonas indicatrix	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
GCF_004570865.1_ASM457086v1_genomic_NZ_SPQS01000003.1.region001	NZ_SPQS01000003.1	Bradyrhizobium frederickii strain CNPSo 3426 scaffold_2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Bradyrhizobium frederickii	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium
GCF_004684345.1_ASM468434v1_genomic_NZ_CP038469.1.region002	NZ_CP038469.1	Citrobacter tructae strain SNU WT2 chromosome, complete genome	NRP-siderophore.NRPS	Others	Citrobacter tructae	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
GCF_004721035.1_ASM472103v1_genomic_NZ_RWKA01000003.1.region002	NZ_RWKA01000003.1	Mycolicibacterium peregrinum strain 138 contig_3_length_543358_depth_1.00x, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium peregrinum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_004723625.1_ASM472362v1_genomic_NZ_AP018357.1.region005	NZ_AP018357.1	Burkholderia contaminans strain CH-1	NRP-siderophore.NRPS	Others	Burkholderia contaminans	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_004723625.1_ASM472362v1_genomic_NZ_AP018358.1.region002	NZ_AP018358.1	Burkholderia contaminans strain CH-1	NRP-siderophore.NRPS	Others	Burkholderia contaminans	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_004768745.1_ASM476874v1_genomic_NZ_CP038662.1.region001	NZ_CP038662.1	Serratia nematodiphila strain DH-S01 chromosome, complete genome	NRP-siderophore.NRPS	Others	Serratia nematodiphila	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
GCF_004784475.1_ASM478447v1_genomic_NZ_SRRT01000005.1.region002	NZ_SRRT01000005.1	Streptomyces bauhiniae strain Bv016 NODE_5_length_640972_cov_70.856368, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces bauhiniae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_004786035.1_ASM478603v1_genomic_NZ_CP035088.1.region010	NZ_CP035088.1	Pseudomonas viciae strain 11K1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pseudomonas viciae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_004786035.1_ASM478603v1_genomic_NZ_CP035088.1.region011	NZ_CP035088.1	Pseudomonas viciae strain 11K1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pseudomonas viciae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_004792415.1_ASM479241v1_genomic_NZ_CP038853.1.region006	NZ_CP038853.1	Pantoea vagans strain LMG 24199 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pantoea vagans	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
GCF_004798725.1_ASM479872v1_genomic_NZ_CP039288.1.region003	NZ_CP039288.1	Cupriavidus necator H16 chromosome 2, complete sequence	NRP-siderophore.arylpolyene.NRPS	Others	Cupriavidus necator H16	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
GCF_004801125.1_ASM480112v1_genomic_NZ_QFVP01000002.1.region001	NZ_QFVP01000002.1	Citrobacter murliniae strain P080C CL scaffold_000002, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Citrobacter murliniae	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex
GCF_004801295.1_ASM480129v1_genomic_NZ_SSOC01000004.1.region001	NZ_SSOC01000004.1	Azoarcus nasutitermitis strain CC-YHH838 contig04, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Azoarcus nasutitermitis	Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
GCF_004801295.1_ASM480129v1_genomic_NZ_SSOC01000004.1.region002	NZ_SSOC01000004.1	Azoarcus nasutitermitis strain CC-YHH838 contig04, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Azoarcus nasutitermitis	Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
GCF_004801305.1_ASM480130v1_genomic_NZ_SSOD01000023.1.region001	NZ_SSOD01000023.1	Azoarcus rhizosphaerae strain CC-YHH848 contig23, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Azoarcus rhizosphaerae	Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
GCF_004803895.1_ASM480389v1_genomic_NZ_CP021978.1.region027	NZ_CP021978.1	Streptomyces hawaiiensis strain ATCC 12236 chromosome, complete genome	NRP-siderophore.NRPS	Others	Streptomyces hawaiiensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_004920405.1_ASM492040v1_genomic_NZ_RFLV01000005.1.region001	NZ_RFLV01000005.1	Pseudomonas leptonychotis strain CCM 8849 NODE_5_length_206353_cov_40.448227, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas leptonychotis	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_004924335.1_ASM492433v1_genomic_NZ_CP024633.1.region006	NZ_CP024633.1	Mycobacteroides salmoniphilum strain DSM 43276 chromosome	NRP-siderophore.NRPS.ectoine.T1PKS	Others	Mycobacteroides salmoniphilum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides
GCF_005048155.1_ASM504815v1_genomic_NZ_SUMB01000001.1.region004	NZ_SUMB01000001.1	Streptomyces piniterrae strain jys28 Scaffold1, whole genome shotgun sequence	NRP-siderophore.lassopeptide.NRPS.phosphonate	Others	Streptomyces piniterrae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_005049235.1_ASM504923v1_genomic_NZ_SUMD01000007.1.region001	NZ_SUMD01000007.1	Rhodococcus oryzae strain NEAU-CX67 Scaffold7, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Rhodococcus oryzae	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
GCF_005144585.1_ASM514458v1_genomic_NZ_SSMQ01000005.1.region001	NZ_SSMQ01000005.1	Polyangium fumosum strain DSM 14668 Scaffold5_1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Polyangium fumosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Polyangium
GCF_005144635.2_ASM514463v2_genomic_NZ_CP079217.1.region011	NZ_CP079217.1	Polyangium aurulentum strain SDU3-1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Polyangium aurulentum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Polyangium
GCF_005144905.1_ASM514490v1_genomic_NZ_CP039700.1.region002	NZ_CP039700.1	Vibrio cyclitrophicus strain ECSMB14105 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Vibrio cyclitrophicus	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_005146945.1_ASM514694v1_genomic_NZ_SWMS01000001.1.region001	NZ_SWMS01000001.1	Prauserella endophytica strain CGMCC 4.7182 Scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Prauserella endophytica	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Prauserella coralliicola group
GCF_005217615.1_ASM521761v1_genomic_NZ_SZNK01000001.1.region001	NZ_SZNK01000001.1	Brevibacillus antibioticus strain TGS2-1 TGS2-1_contig1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Brevibacillus antibioticus	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
GCF_005234135.1_ASM523413v1_genomic_NZ_CP039964.1.region002	NZ_CP039964.1	Pseudorhodobacter turbinis strain S12M18 chromosome, complete genome	NRP-siderophore.NRPS.T1PKS	Others	Pseudorhodobacter turbinis	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter
GCF_005281455.1_ASM528145v1_genomic_NZ_CP040105.1.region001	NZ_CP040105.1	Acinetobacter nosocomialis M2 chromosome, complete genome	NRP-siderophore.redox-cofactor.NRPS	Others	Acinetobacter nosocomialis M2	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex
GCF_005281835.1_ASM528183v1_genomic_NZ_RZIS01000001.1.region001	NZ_RZIS01000001.1	Vibrio profundi strain TP187 Scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Vibrio profundi	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_005405925.1_ASM540592v1_genomic_NZ_BJHV01000001.1.region043	NZ_BJHV01000001.1	Streptomyces antimycoticus strain NBRC 12839 contig1, whole genome shotgun sequence	NRP-siderophore.NRPS.ladderane	Others	Streptomyces antimycoticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_005484945.1_ASM548494v1_genomic_NZ_CP034035.1.region001	NZ_CP034035.1	Brenneria rubrifaciens strain 6D370 chromosome, complete genome	NRP-siderophore.NRPS	Others	Brenneria rubrifaciens	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
GCF_005484945.1_ASM548494v1_genomic_NZ_CP034035.1.region003	NZ_CP034035.1	Brenneria rubrifaciens strain 6D370 chromosome, complete genome	NRP-siderophore.NRPS	Others	Brenneria rubrifaciens	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
GCF_005484965.1_ASM548496v1_genomic_NZ_CP034036.1.region005	NZ_CP034036.1	Brenneria nigrifluens DSM 30175 = ATCC 13028 chromosome, complete genome	NRP-siderophore.NRPS	Others	Brenneria nigrifluens DSM 30175 = ATCC 13028	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
GCF_005484965.1_ASM548496v1_genomic_NZ_CP034036.1.region006	NZ_CP034036.1	Brenneria nigrifluens DSM 30175 = ATCC 13028 chromosome, complete genome	NRP-siderophore.NRPS.T1PKS	Others	Brenneria nigrifluens DSM 30175 = ATCC 13028	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
GCF_005497185.1_ASM549718v1_genomic_NZ_RJTN01000014.1.region001	NZ_RJTN01000014.1	Pectobacterium polonicum strain DPMP315 scaffold_14, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pectobacterium polonicum	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
GCF_005670685.2_ASM567068v2_genomic_NZ_CP062008.1.region004	NZ_CP062008.1	Mycolicibacterium mucogenicum DSM 44124 chromosome, complete genome	NRP-siderophore.NRPS	Others	Mycolicibacterium mucogenicum DSM 44124	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_005670695.1_ASM567069v1_genomic_NZ_POTN01000015.1.region001	NZ_POTN01000015.1	Mycolicibacterium aubagnense strain DSM 45150 MAUBAG_contig000015, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacterium aubagnense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_005671395.1_ASM567139v1_genomic_NZ_CP040428.1.region005	NZ_CP040428.1	Jejubacter calystegiae strain KSNA2 chromosome, complete genome	NRP-siderophore.NRPS	Others	Jejubacter calystegiae	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Jejubacter
GCF_005786655.1_ASM578665v1_genomic_NZ_VBZC01000001.1.region002	NZ_VBZC01000001.1	Streptomyces montanus strain NEAU-C151 Scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces montanus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_005862185.2_ASM586218v2_genomic_NZ_CP054028.1.region001	NZ_CP054028.1	Rhizobium hidalgonense strain JKLM 19E plasmid pPR19E01, complete sequence	NRP-siderophore.NRPS.hserlactone	Others	Rhizobium hidalgonense	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
GCF_005862305.2_ASM586230v2_genomic_NZ_CP054022.1.region001	NZ_CP054022.1	Rhizobium indicum strain JKLM 12A2 plasmid pPR12A201, complete sequence	NRP-siderophore.NRPS	Others	Rhizobium indicum	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
GCF_005869865.1_ASM586986v1_genomic_NZ_SZVR01000008.1.region002	NZ_SZVR01000008.1	Streptomyces tibetensis strain XZ 46 scaffold8, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces tibetensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_005871085.1_ASM587108v1_genomic_NZ_VAUP01000022.1.region001	NZ_VAUP01000022.1	Xanthobacter autotrophicus strain DSM 432 NODE_2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Xanthobacter autotrophicus	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter
GCF_005877905.1_ASM587790v1_genomic_NZ_SWDV01000005.1.region001	NZ_SWDV01000005.1	Pseudomonas nicosulfuronedens strain LAM1902 LAM1902_ctg005, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas nicosulfuronedens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_005886105.2_ASM588610v2_genomic_NZ_PNCO02000001.1.region005	NZ_PNCO02000001.1	Pseudoalteromonas galatheae strain S4498 1, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Pseudoalteromonas galatheae	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
GCF_005886105.2_ASM588610v2_genomic_NZ_PNCO02000002.1.region001	NZ_PNCO02000002.1	Pseudoalteromonas galatheae strain S4498 2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudoalteromonas galatheae	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
GCF_005938105.1_ASM593810v1_genomic_NZ_VCPE01000015.1.region001	NZ_VCPE01000015.1	Brucella haematophila strain CCUG 38531 contig_15, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Brucella haematophila	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,Brucella
GCF_005938385.1_ASM593838v1_genomic_NZ_VCRA01000024.1.region001	NZ_VCRA01000024.1	Paenibacillus mesophilus strain SYSU K30004 Scaffold24, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Paenibacillus mesophilus	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
GCF_006094475.1_ASM609447v1_genomic_NZ_CP034943.1.region007	NZ_CP034943.1	Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499 strain ATCC 6633 chromosome, complete genome	NRP-siderophore.NRPS.RiPP-like	Others	Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
GCF_006349075.1_ASM634907v1_genomic_NZ_VAUE01000031.1.region001	NZ_VAUE01000031.1	Providencia stuartii strain M147 NODE_31_length_64620_cov_28.1467, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Providencia stuartii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia
GCF_006363815.1_ASM636381v1_genomic_NZ_RRYT01000003.1.region002	NZ_RRYT01000003.1	Thermomonospora catenispora strain 3-22-3 Scaffold3, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Thermomonospora catenispora	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Thermomonospora
GCF_006364355.1_ASM636435v1_genomic_NZ_CP040990.1.region005	NZ_CP040990.1	Vibrio furnissii strain FDAARGOS_777 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Vibrio furnissii	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_006378125.1_ASM637812v1_genomic_NZ_CP034395.1.region001	NZ_CP034395.1	Herbaspirillum seropedicae strain AU13965 chromosome, complete genome	NRP-siderophore.NRPS	Others	Herbaspirillum seropedicae	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
GCF_006494775.1_ASM649477v1_genomic_NZ_CP041146.1.region001	NZ_CP041146.1	Nocardioides humi strain DCY24 chromosome, complete genome	NRP-siderophore.NRPS	Others	Nocardioides humi	Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
GCF_006494775.1_ASM649477v1_genomic_NZ_CP041146.1.region006	NZ_CP041146.1	Nocardioides humi strain DCY24 chromosome, complete genome	NRP-siderophore.NRPS-like.NRPS.LAP	Others	Nocardioides humi	Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
GCF_006517625.1_ASM651762v1_genomic_NZ_VHQI01000004.1.region002	NZ_VHQI01000004.1	Mixta tenebrionis strain BIT-26 Scaffold4, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mixta tenebrionis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Mixta
GCF_006539505.1_ASM653950v1_genomic_NZ_BJND01000020.1.region002	NZ_BJND01000020.1	Streptomyces spinoverrucosus strain NBRC 14228 sequence020, whole genome shotgun sequence	NRP-siderophore.melanin.NRPS	Others	Streptomyces spinoverrucosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_006539765.1_ASM653976v1_genomic_NZ_BJNQ01000001.1.region001	NZ_BJNQ01000001.1	Microbacterium liquefaciens strain NBRC 15037 sequence01, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Microbacterium liquefaciens	Bacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
GCF_006539825.1_ASM653982v1_genomic_NZ_BJNT01000013.1.region001	NZ_BJNT01000013.1	Corynebacterium variabile strain NBRC 15286 sequence13, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Corynebacterium variabile	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_006539885.1_ASM653988v1_genomic_NZ_BJNW01000011.1.region001	NZ_BJNW01000011.1	Kocuria varians strain NBRC 15358 sequence11, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Kocuria varians	Bacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
GCF_006539925.1_ASM653992v1_genomic_NZ_BJNY01000002.1.region001	NZ_BJNY01000002.1	Glutamicibacter uratoxydans strain NBRC 15515 sequence02, whole genome shotgun sequence	NRP-siderophore.T3PKS.NRPS	Others	Glutamicibacter uratoxydans	Bacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter
GCF_006547165.1_ASM654716v1_genomic_NZ_SPBA01000140.1.region003	NZ_SPBA01000140.1	Streptomyces ipomoeae strain B12321 contig_71, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces ipomoeae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_006704145.1_ASM670414v1_genomic_NZ_CM017105.1.region005	NZ_CM017105.1	Pseudoalteromonas luteoviolacea strain H2 chromosome, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudoalteromonas luteoviolacea	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
GCF_006704145.1_ASM670414v1_genomic_NZ_VIGJ01000001.1.region011	NZ_VIGJ01000001.1	Pseudoalteromonas luteoviolacea strain H2 1, whole genome shotgun sequence	NRP-siderophore.NRPS.betalactone.T1PKS	Others	Pseudoalteromonas luteoviolacea	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
