ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","Oxygen tolerance"
,,,,,1073574.5,
,,,,,2519899569,
,,,,,BAEE00000000,
,,,,,GCA_000241265,
,,,,,GCA_013004535,
10611,,"CCUG 53882, CIP 109345, DSM 44810, IFM 10200, JCM 12130, NBRC 100432",1,"Gordonia effusa",1077974.3,aerobe
,,,,,2523231038,microaerophile
,,,,,BAEH00000000,
,,,,,GCA_000241305,
10621,ON-33,"DSM 45645, CCUG 57507, KCTC 19599, JCM 16947",1,"Gordonia hankookensis",GCA_014673215,aerobe
10580,"K 718a","CCUG 38498, DSM 44140, CIP 105097, JCM 10105, ATCC 700255, CECT 7018, IFO 16056, KCTC 9816, NBRC 16056, PCM 2574",1,"Gordonia hirsuta",1121927.3,aerobe
,,,,,2526164525,
,,,,,2563367079,
,,,,,ATVK00000000,
,,,,,BANT00000000,
,,,,,GCA_000333015,
,,,,,GCA_000420685,
10622,CC-12301,"DSM 45298, CCM 7727, CCUG 58853, JCM 17969",1,"Gordonia humi",2834003814,aerobe
,,,,,686429.3,microaerophile
,,,,,GCA_014197435,
10579,1610/1b,"DSM 44015, ATCC 700089, CIP 104672, IFO 16057, NBRC 16057, CCUG 38497, CECT 7021, JCM 10086, BCRC 16394, KCTC 9814, PCM 2575",1,"Gordonia hydrophobica",1223541.3,aerobe
,,,,,2675903489,
,,,,,BCWU00000000,
,,,,,GCA_001592365,
10615,,"DSM 45064, CCUG 53555, CIP 109612, IMMIB WWCC-22, JCM 14874, IFM 10866, NBRC 108250",1,"Gordonia malaquae",1223542.3,aerobe
,,,,,2523231040,
,,,,,2639762576,
,,,,,410332.5,
,,,,,BAOP00000000,
,,,,,FNRZ00000000,
,,,,,GCA_000344135,
,,,,,GCA_900105435,
10623,AD-6,"DSM 45646, CCTCC AB 209144, JCM 31031, NRRL B-59395",1,"Gordonia neofelifaecis",AEUD00000000,aerobe
166494,RS15-1S,"TBRC 8485, NBRC 113446",1,"Gordonia oryzae",2866513116,aerobe
,,,,,GCA_003797185,
,,,,,RKMH00000000,
10610,,"DSM 44809, IFM 10032, JCM 12355, NBRC 100426, CCUG 52243, CIP 109016",1,"Gordonia otitidis",1108044.3,aerobe
,,,,,2514885045,
,,,,,BAFB00000000,
,,,,,GCA_000248075,
141149,QH-11,"CICC 24107, KCTC 39933, DSM 108671",1,"Gordonia phthalatica",2648501237,aerobe
,,,,,GCA_001305675,
166495,,"TBRC 7109, NBRC 113236, AMA 120",1,"Gordonia sediminis",RZUM00000000,aerobe
10617,SD29,"DSM 45094, CGMCC 4.3492, JCM 13907, CIP 109551",1,"Gordonia shandongensis",1121928.3,aerobe
,,,,,2524614582,
,,,,,AUHE00000000,
,,,,,GCA_000423025,
10570,3884,"DSM 43896, ATCC 29627, IMET 7569, JCM 3228, KCC A-0228, CCUG 47138, CIP 100849, BCRC 13698, CCM 3354, IFO 16049, KCTC 3436, NBRC 100414, NBRC 16049, PCM 2576",1,"Gordonia sputi",1089453.3,microaerophile
,,,,,2513237321,
,,,,,36823.3,
,,,,,BAFC00000000,
,,,,,GCA_000248055,
,,,,,GCA_012396255,
,,,,,JAAXPD000000000,
10603,"ID 3752, Kb 2","DSM 44215, JCM 11757, NRRL B-24152, CCUG 46924, CIP 107642, IFM 10629, KCTC 9954, NBRC 108237",1,"Gordonia westfalica",1305624.4,aerobe
,,,,,158898.6,
,,,,,158898.7,
,,,,,2636416072,
,,,,,2675903634,
,,,,,FNLM00000000,
,,,,,GCA_001313785,
,,,,,GCA_900105725,
3075,7-10-1-b,"DSM 19378, CCUG 55131, KCTC 15161, JCM 16334",1,"Gordonibacter pamelaeae",650377943,anaerobe
,,,,,657308.3,
,,,,,FP929047,
24792,,"DSM 27213, CCUG 64261, KCTC 15440, CEBAS 1/15P, CEBAS 1/15",1,"Gordonibacter urolithinfaciens",1335613.12,anaerobe
,,,,,1335613.4,
,,,,,GCA_003788975,
1256,B1761,"DSM 18845, CIP 107105, JCM 12212, KCTC 3846, LMG 18422",1,"Gottfriedia luciferensis",178774.9,"facultative anaerobe"
,,,,,2916864039,
,,,,,GCA_002156865,
,,,,,NCTA00000000,
158259,NEAU-cbsb5,"DSM 100485, CGMCC 1.14993",1,"Gottfriedia solisilvae",1516104.166,"facultative anaerobe"
,,,,,1516104.3,
,,,,,GCA_002128405,
,,,,,GCA_014640495,
2537,9a,"DSM 604, ATCC 7906, IMG 1642, KCTC 5404",1,"Gottschalkia acidurici",1128398.8,anaerobe
,,,,,2517487003,"obligate anaerobe"
,,,,,GCA_000299355,
2650,,"DSM 1384, ATCC 33906, WA 1",1,"Gottschalkia purinilytica",1503.6,anaerobe
,,,,,2645727973,"obligate anaerobe"
,,,,,GCA_001190785,
1463,YIM-C55.5,"DSM 17856, CGMCC 1.6303",1,"Gracilibacillus halophilus",1308866.3,"obligate aerobe"
,,,,,2545824697,
,,,,,GCA_000359605,
1460,NN,"DSM 11805, JCM 10718, ATCC 700849",1,"Gracilibacillus halotolerans",2829726240,"obligate aerobe"
,,,,,74386.3,
,,,,,GCA_014206945,
1468,K170,"DSM 23178, CGMCC 1.10681",1,"Gracilibacillus kekensis",1027249.3,aerobe
,,,,,2667528169,
,,,,,GCA_900143085,
1464,BH312,"DSM 19029, KCTC 13129",1,"Gracilibacillus lacisalsi",1121929.3,aerobe
,,,,,2519103189,"obligate aerobe"
,,,,,GCA_000377765,
1465,,"DSM 19802, CCTCC AA 208015, YIM 91119",1,"Gracilibacillus saliphilus",543890.3,aerobe
,,,,,GCA_010994085,
1466,TP2-8,"DSM 23862, JCM 15569, PCU 304, TISTR 1881, CGMCC 1.10450",1,"Gracilibacillus thailandensis",GCA_009659515,"obligate aerobe"
,,,,,GCA_010994055,
,,,,,WJID00000000,
158807,LA399,"CGMCC 1.16248, KCTC 52885",1,"Gracilimonas amylolytica",2833079920,aerobe
,,,,,GCA_002911695,
24739,,"DSM 21985, ACCC 10717, YIM J14",1,"Gracilimonas mengyeensis",1302730.3,"facultative anaerobe"
,,,,,2724679790,
,,,,,GCA_900182705,
17764,CL-CB462,"DSM 19535, KCCM 90063",1,"Gracilimonas tropica",1121930.3,aerobe
,,,,,2515154158,
,,,,,GCA_000375425,
133966,BS12,"KACC 16188, JCM 17790",1,"Gramella aestuarii",2891820663,aerobe
,,,,,GCA_009735585,
5717,,"DSM 19838, JCM 13510, KCTC 12278, KMM 6050, LMG 22585, NBRC 100593, IAM 15331",1,"Gramella echinicola",1121931.6,aerobe
,,,,,2524614734,
,,,,,AUHG00000000,
,,,,,GCA_000423065,
24046,KT0803,"DSM 17595, CGMCC 1.15422",1,"Gramella forsetii",411153.5,"obligate aerobe"
,,,,,411154.11,
,,,,,639633025,
,,,,,GCA_000060345,
,,,,,GCA_014642775,
5719,RA5-111,"DSM 23082, JCM 16528, KCTC 23022, NBRC 106272",1,"Gramella gaetbulicola",2734482285,aerobe
,,,,,703340.3,
,,,,,GCA_003054225,
,,,,,QBKQ00000000,
5718,UST040801-001,"DSM 23547, JCM 13192, NBRC 101534, NRRL B-41137, CIP 109020, KCTC 22434",1,"Gramella portivictoriae",1121932.6,aerobe
,,,,,2524614725,
,,,,,AUHF00000000,
,,,,,GCA_000423045,
159710,LPB0144,"KACC 18894, JCM 31560",1,"Gramella salexigens",2718217989,aerobe
,,,,,CP018153,
,,,,,GCA_001889005,
80,CGDNIH1,"DSM 17861, ATCC BAA 1260",1,"Granulibacter bethesdensis",391165.9,"obligate aerobe"
,,,,,637000123,
,,,,,GCA_000014285,
2274,GaD,"DSM 9848, ATCC 49175, CIP 103243, CCUG 27637 A, CCUG 27809",1,"Granulicatella adiacens",46124.66,anaerobe
,,,,,638301.3,microaerophile
,,,,,645951817,
,,,,,GCA_000160675,
2276,M1975/96/1,"DSM 15827, ATCC 700813, CCUG 37380, CIP 105938",1,"Granulicatella balaenopterae",137733.3,anaerobe
,,,,,2684622850,microaerophile
,,,,,GCA_900111135,
22899,MP5ACTX8,"DSM 23137, ATCC BAA 1857",1,"Granulicella mallensis",2503982037,aerobe
,,,,,682795.3,
,,,,,GCA_000178955,
137,TPB6011,"DSM 21001, VKM B-2509",1,"Granulicella pectinivorans",2687453730,"obligate aerobe"
,,,,,474950.3,
,,,,,GCA_900114625,
136,"T4, TPO-1014","DSM 18704, ATCC BAA 1396, TPO 1014",1,"Granulicella rosea",2681813547,"obligate aerobe"
,,,,,474952.3,
,,,,,GCA_900188085,
158483,AF10,"DSM 104461, VKM B-3276",1,"Granulicella sibirica",2880944282,aerobe
,,,,,GCA_004115155,
,,,,,RDSM00000000,
22901,MP5ACTX9,"DSM 23138, ATCC BAA 1859",1,"Granulicella tundricola",1198114.10,aerobe
,,,,,1198114.11,
,,,,,1198114.7,
,,,,,1198114.8,
,,,,,1198114.9,
,,,,,649633002,
,,,,,GCA_000178975,
12620,PG-02,"DSM 17626, ATCC BAA 1292, CIP 109593, JCM 15570, NBRC 107789",1,"Granulicoccus phenolivorans",1121933.4,"facultative anaerobe"
,,,,,1220580.4,
,,,,,1303682.4,
,,,,,2522572156,
,,,,,2731957581,
,,,,,2734481947,
,,,,,AUHH00000000,
,,,,,BCQZ00000000,
,,,,,GCA_000423085,
,,,,,GCA_001313465,
140804,96-237,"CECT 9029, KCTC 42960, LMG 29238",1,"Grimontia celer",1796497.3,"facultative anaerobe"
,,,,,2713897040,
,,,,,GCA_900055185,
17219,75-80,"DSM 15132, ATCC 33564, CDC 0075-80, IMET 12291, CCUG 13625, NCTC 11640, LMG 17719, CIP 101886, JCM 1283, BCRC 15890, CAIM 625, CDC 75-80, CECT 5069, LMG 13542",1,"Grimontia hollisae",2718217809,aerobe
,,,,,2839397828,
,,,,,647000258,
,,,,,673.5,
,,,,,673.9,
,,,,,675812.3,
,,,,,ADAQ00000000,
,,,,,CP014055,
,,,,,CP014056,
,,,,,GCA_000176515,
7515,,"DSM 22003, JCM 14773, KCTC 13163, DCY 26",1,"Gryllotalpicola ginsengisoli",1121372.3,aerobe
,,,,,2523533581,
,,,,,AULK00000000,
,,,,,GCA_000419445,
10518,HT27,"DSM 17901, JCM 15969",1,"Gulbenkiania indica",2616644830,aerobe
,,,,,375574.10,
,,,,,375574.9,
,,,,,CYHA00000000,
,,,,,GCA_001418035,
,,,,,GCA_001517245,
,,,,,LION00000000,
10519,E4FC31,"DSM 18507, CCUG 54946, LMG 23770",1,"Gulbenkiania mobilis",2799112276,aerobe
,,,,,397457.6,"facultative aerobe"
7478,S7-7,"CCUG 50209, DSM 17450, IAM 14848, TISTR 1511, JCM 12920, CIP 108567, NBRC 103089",1,"Gulosibacter bifidus",1349787.3,aerobe
,,,,,2731957611,
,,,,,BCSP00000000,
,,,,,GCA_001570925,
7330,,"DSM 26462, CAU 9625, CCUG 60841, KCTC 13959",1,"Gulosibacter chungangensis",979746.3,aerobe
,,,,,GCA_008831155,
7329,ON4,"DSM 13485, CCUG 49965, LMG 21909, JCM 13320, CIP 108515, IAM 15172, NCIMB 14246",1,"Gulosibacter molinativorax",1121934.3,aerobe
,,,,,2524614660,
,,,,,2802429658,
,,,,,AUDX00000000,
,,,,,GCA_000425685,
,,,,,PXVE00000000,
140661,YC6258,"NBRC 109345, KCCM 43015",1,"Gynuella sunshinyii",1445510.6,"facultative anaerobe"
,,,,,2630968578,
,,,,,GCA_000940805,
166445,,"CGMCC 1.15525, NBRC 112424, HBUM 179779",1,"Gynurincola endophyticus",RCWL00000000,aerobe
136703,,"CIP 107725, CCUG 47968",1,"Haematobacter massiliensis",195105.32,microaerophile
,,,,,2600255081,
,,,,,GCA_000740795,
136704,,"CIP 109176, CCUG 52307, CDC H1892",1,"Haematobacter missouriensis",2600255082,microaerophile
,,,,,366616.15,
,,,,,GCA_000740775,
7621,741,"DSM 21259, CCUG 46407, JCM 19108",1,"Haematomicrobium sanguinis",1121020.3,microaerophile
,,,,,2556921096,
,,,,,GCA_000688395,
,,,,,JIAG00000000,
132371,H5569,"DSM 28903, CCUG 66838",1,"Haematospirillum jordaniae",2718217839,microaerophile
,,,,,GCA_001611975,
,,,,,GCA_012102615,
11711,180-a,"DSM 21187, ATCC 11116, CCUG 25716, CIP 52.129, NCTC 8502",1,"Haemophilus aegyptius",197575.11,aerobe
,,,,,197575.8,microaerophile
,,,,,2808606679,
,,,,,651324038,
,,,,,888728.3,
,,,,,GCA_000195005,
,,,,,GCA_900475885,
136076,,"CIP 52.130, NCTC 8134, CCUG 26840",0,"Haemophilus aegyptius",197575.10,microaerophile
,,,,,197575.6,
,,,,,2903696016,
,,,,,GCA_001679335,
,,,,,GCA_900637765,
141284,,"CCUG 628",0,"Haemophilus aegyptius",197575.7,microaerophile
,,,,,GCA_001679305,
138208,,"CIP 54.2, ATCC 33940, CCUG 4438, DSM 8925, NCTC 10945, CIP 542",1,"Haemophilus ducreyi",2597490374,microaerophile
,,,,,730.36,
,,,,,730.53,
,,,,,GCA_001043455,
,,,,,GCA_002015155,
,,,,,GCA_900109315,
141858,,"CCUG 7829, ATCC 27722",0,"Haemophilus ducreyi",730.55,microaerophile
11716,,"DSM 21192, ATCC 49733, CCUG 31170, TI 189",1,"Haemophilus felis",123822.3,microaerophile
,,,,,123822.6,
,,,,,GCA_002015125,
,,,,,GCA_009910635,
11712,,"DSM 21241, ATCC 19416, CCUG 3714, CIP 53.88, NCTC 1659",1,"Canicola haemoglobinophilus",2906570301,microaerophile
,,,,,2916265895,
,,,,,733.3,
,,,,,733.4,
,,,,,GCA_002015075,
,,,,,GCA_900450725,
135242,AQ/3273,"CIP 103290, ATCC 33390, CCUG 12834, NCTC 10659, DSM 103601",1,"Haemophilus haemolyticus",2531839471,microaerophile
,,,,,2916272478,
,,,,,726.278,
,,,,,726.279,
,,,,,726.59,
,,,,,GCA_001679045,
,,,,,GCA_004368535,
144273,,"CCUG 24149",0,"Haemophilus haemolyticus",726.57,microaerophile
,,,,,GCA_001679135,
156904,,"CCUG 66565",0,"Haemophilus haemolyticus",1859694.4,microaerophile
,,,,,2924798928,
,,,,,GCA_001679495,
11698,680,"DSM 4690, ATCC 33391, NCTC 8143, JCM 33542, CCUG 23945, CIP 102514",1,"Haemophilus influenzae",2660238341,microaerophile
,,,,,727.583,
,,,,,GCA_001457655,
,,,,,LN831035,
11700,641,"CCUG 7317 A, DSM 10001, ATCC 9795, NCTC 8467, AMC 36-A-4",0,"Haemophilus influenzae",727.3022,microaerophile
11702,572,"DSM 11969, ATCC 10211, CCUG 33775",0,"Haemophilus influenzae",727.1018,microaerophile
,,,,,GCA_001997355,
11704,"Kilian HK 394, Pittman 576","DSM 23393, ATCC 9334, CCUG 13225B, CCUG 23946, CIP 54.94, NCTC 8468",0,"Haemophilus influenzae",727.2184,microaerophile
,,,,,GCA_901472485,
11705,TD-4,"DSM 24049, ATCC 49247, CCUG 26214, DSM 9999, NCTC 12699",0,"Haemophilus influenzae",727.1824,microaerophile
,,,,,727.965,
,,,,,GCA_001679235,
,,,,,GCA_900635805,
154590,,"CCUG 54503",0,"Haemophilus influenzae",727.963,microaerophile
,,,,,GCA_001679365,
156132,,"CCUG 60490",0,"Haemophilus influenzae",727.964,microaerophile
,,,,,GCA_001679415,
11713,,"DSM 21452, ATCC 29986, CCUG 43573, CIP 107045",1,"Haemophilus paracuniculus",734.3,microaerophile
,,,,,GCA_002015115,
11708,536,"DSM 21417, ATCC 10014, CCUG 3716, CIP 56.86, NCTC 8479",1,"Haemophilus parahaemolyticus",1095744.7,microaerophile
,,,,,2916270391,
,,,,,2924818472,
,,,,,735.3,
,,,,,735.52,
,,,,,GCA_002015035,
,,,,,GCA_900450675,
11707,,"DSM 8978, ATCC 33392, NCTC 7857, CCUG 12836, KCTC 15417",1,"Haemophilus parainfluenzae",2916268294,microaerophile
,,,,,651324039,
,,,,,729.2141,
,,,,,888828.150,
,,,,,888828.3,
,,,,,888828.6,
,,,,,GCA_000191405,
,,,,,GCA_00074648,
,,,,,GCA_000746485,
,,,,,GCA_900450845,
155670,,"CCUG 58848",0,"Haemophilus parainfluenzae",729.35,anaerobe
,,,,,GCA_001679405,
156096,,"CCUG 60358",0,"Haemophilus parainfluenzae",1859695.3,microaerophile
,,,,,2903676280,
,,,,,GCA_001679485,
156556,,"CCUG 62655",0,"Haemophilus parainfluenzae",729.36,microaerophile
,,,,,GCA_001679455,
11714,L1,"DSM 21451, ATCC 29237, CCUG 3718, CIP 102512, NCTC 10670",1,"Haemophilus paraphrohaemolyticus",2531839472,microaerophile
,,,,,2879044333,
,,,,,736.3,
,,,,,GCA_002015045,
144737,,"CCUG 26425, MCCM 00470, ATCC 29238, NCTC 10671",0,"Haemophilus paraphrohaemolyticus",735.10,microaerophile
,,,,,GCA_900451065,
11709,"HK 85","DSM 17240, CCUG 48703, NCTC 13334, CIP 108658",1,"Haemophilus pittmaniae",249188.3,microaerophile
,,,,,2773857811,
,,,,,GCA_900186995,
153201,,"CCUG 48706, NCTC 13335",0,"Haemophilus pittmaniae",249188.6,microaerophile
,,,,,2808606716,
,,,,,GCA_900450865,
11717,,"DSM 24472, CCUG 13788, NCTC 13537",1,"Haemophilus sputorum",1035839.4,microaerophile
,,,,,2513237309,
,,,,,GCA_000238795,
133593,,"CDC 4510-73, LMG 24706, ATCC 29927",1,"Hafnia paralvei",1354263.4,"facultative anaerobe"
,,,,,GCA_001655005,
5851,FR1050,"DSM 17046, JCM 12486, KCTC 12277, CIP 108747, IMSNU 60136",1,"Hahella ganghwensis",1121935.11,aerobe
,,,,,2519899685,
,,,,,AQXX00000000,
,,,,,GCA_000376785,
5972,D43,"DSM 19505, JCM 15962, KCTC 4055",1,"Haladaptatus cibarius",2582580505,aerobe
,,,,,GCA_000710615,
,,,,,JDTH00000000,
133566,ROI-28,"CGMCC 1.7737, JCM 15771",1,"Haladaptatus litoreus",2681812914,aerobe
,,,,,FTNO00000000,
,,,,,GCA_900156425,
163852,AArc-Sl,"JCM 30664, UNIQEM U999",1,"Halalkaliarchaeum desulfuricum",CP025066,"facultative anaerobe"
,,,,,GCA_002952775,
1516,BH2,"DSM 18494, JCM 14192, BCRC 80128, CIP 109651",1,"Halalkalibacillus halophilus",1121936.5,aerobe
,,,,,2524023153,
,,,,,AUHI00000000,
,,,,,GCA_000423105,
5968,B3,"DSM 18796, CECT 7217, JCM 14584, KCTC 4019, CGMCC 1.8490, NBRC 110681",1,"Halalkalicoccus jeotgali",2528311097,aerobe
,,,,,2531839219,
,,,,,648028029,
,,,,,AOHV00000000,
,,,,,CP002062,
,,,,,GCA_000196895,
,,,,,GCA_000337255,
,,,,,GCA_000485535,
140834,HSR2,"JCM 30661, UNIQEM U935",1,"Halanaeroarchaeum sulfurireducens",CP008874,"obligate anaerobe"
,,,,,GCA_001011115,
5982,CEJFG43,"DSM 23230, JCM 16696",1,"Halanaerobacter jeridensis",2901107112,anaerobe
,,,,,706427.3,
,,,,,GCA_016908315,
5859,,"DSM 11287, SEBR 4224",1,"Halanaerobium congolense",2740892605,anaerobe
,,,,,54121.23,
5861,GSL,"DSM 2228, ATCC 33744",1,"Halanaerobium praevalens",572479.3,anaerobe
,,,,,650377948,
,,,,,GCA_000165465,
5864,Z-7787,"DSM 6643",1,"Halanaerobium saccharolyticum",1293054.3,anaerobe
,,,,,2600255242,
,,,,,GCA_000350165,
5977,MH1-52-1,"DSM 22442, CECT 7534, JCM 16109",1,"Halarchaeum acidiphilum",2648501790,anaerobe
,,,,,2648501819,
,,,,,BANO00000000,
,,,,,BATA00000000,
,,,,,GCA_000400975,
,,,,,GCA_000474235,
134070,MH1-136-2,"JCM 16331, CECT 7573",1,"Halarchaeum nitratireducens",GCA_014647155,aerobe
24088,MH1-16-3,"DSM 22443, CECT 7535, JCM 16108",1,"Halarchaeum rubridurum",2913406730,aerobe
,,,,,GCA_014647115,
,,,,,GCA_017873775,
5868,SLAS-1,"DSM 21684, ATCC BAA 1651",1,"Halarsenatibacter silvermanii",2639762507,"obligate anaerobe"
,,,,,GCA_900103135,
495,3x/A02/235,"DSM 19537, CECT 7478, CIP 109602, MOLA 286",1,"Haliea salexigens",1121937.15,aerobe
,,,,,2523533559,
,,,,,GCA_000423125,
23576,S1-36,"DSM 27941, KCTC 23429, NBRC 107739",1,"Halioglobus japonicus",930805.12,aerobe
,,,,,930805.5,
,,,,,930805.6,
,,,,,930805.7,
,,,,,930805.8,
,,,,,GCA_001983995,
,,,,,GCA_002869505,
,,,,,GCA_014652255,
158634,HF004,"KCTC 42395, MCCC 1H00127",1,"Pseudohalioglobus lutimaris",GCA_002866825,aerobe
23577,S1-72,"DSM 27932, KCTC 23430, NBRC 107742",1,"Halioglobus pacificus",930806.9,aerobe
,,,,,GCA_014652275,
166510,U0301,"CTC 62082, MCCC 1H00234",1,"Seongchinamella sediminis",QRAN01000000,aerobe
24344,"VPI D238B-15","DSM 28061, ATCC 51272, CCUG 33639, CIP 107046",1,"Hallella seregens",1336250.3,anaerobe
,,,,,2545555854,
,,,,,GCA_000518545,
133110,,"DSM 45977, CGMCC 4.7115, AFM 10258",1,"Haloactinomyces albus",2919883261,aerobe
17826,,"DSM 45211, KCTC 19409, YIM 93246",1,"Haloactinopolyspora alba",2728369474,aerobe
,,,,,648780.3,
,,,,,648780.4,
,,,,,GCA_003014555,
,,,,,GCA_004138525,
11262,,"DSM 45015, CCTCC AA 206008, JCM 16004, YIM 90648",1,"Haloactinospora alba",2818991471,aerobe
,,,,,405555.3,
,,,,,GCA_006717075,
,,,,,VFQC00000000,
133728,EB21,"IBRC-M 10013, KCTC 4048",1,"Haloarchaeobius iranensis",GCA_900103505,aerobe
133624,HST01-2R,"BCC 40029, JCM 15759, PCU 313",1,"Haloarcula salaria",GCA_014647095,aerobe
162366,SWO25,"JCM 19018, CIP 110583",1,"Haloarcula sebkhae",GCA_014647415,aerobe
1355,FP5,"DSM 18525, ATCC BAA 1361",1,"Halobacillus alkaliphilus",2654587900,aerobe
,,,,,GCA_900113125,
130201,NEAU-ST10-40,"DSM 25866, CGMCC 1.12153",1,"Halobacillus andaensis",1176239.3,"obligate aerobe"
,,,,,1176239.4,
,,,,,2913453739,
,,,,,GCA_014636475,
,,,,,GCA_017874135,
1352,IGA7-4,"DSM 21559, IAM 15427, KCTC 13121, MBIC 08268, JCM 23212, NBRC 103569",1,"Halobacillus faecis",360184.3,"obligate aerobe"
,,,,,GCA_007991335,
1327,3,"DSM 2266, ATCC 35676, NCIMB 2269, JCM 20832, CCM 3527, CECT 5013, IAM 12846, IAM 13060, KCTC 3685, LMG 17431, NBRC 102448",1,"Halobacillus halophilus",2513237186,"obligate aerobe"
,,,,,866895.14,
,,,,,866895.15,
,,,,,866895.3,
,,,,,GCA_000284515,
,,,,,HE717023,
1344,"X78, MA-2","DSM 14948, CIP 108359, LMG 21515",1,"Halobacillus karajensis",195088.4,"obligate aerobe"
,,,,,2651870103,
,,,,,GCA_900108515,
1343,SL-4,"DSM 10405",1,"Halobacillus litoralis",GCA_009856445,"obligate aerobe"
1345,MSS-155,"DSM 16468, KCCM 41687, KCTC 3788",1,"Halobacillus locisalis",220753.4,aerobe
,,,,,GCA_013694105,
1354,ISL-50,"DSM 22302, CCUG 54358, KCTC 13145",1,"Halobacillus seohaensis",2901090068,aerobe
,,,,,447421.3,
1342,SL-5,"DSM 10404",1,"Halobacillus trueperi",156205.9,"obligate aerobe"
1346,MSS-402,"DSM 17110, KCTC 3957, JCM 12929",1,"Halobacillus yeomjeoni",2755037.3,aerobe
,,,,,GCA_015905325,
5911,R1,"DSM 671, CCUG 24034, JCM 9409, ATCC 29341, NCIMB 2080",0,"Halobacterium salinarum",2596583691,aerobe
,,,,,641522631,
,,,,,AM774415,
,,,,,GCA_000069025,
133787,MGY-184,"JCM 17821, KCTC 4100, NBRC 109044",1,"Halobaculum magnesiiphilum",GCA_019823105,aerobe
133385,D90,"CGMCC 1.15501, JCM 31273",1,"Halobaculum roseum",GCA_019880245,aerobe
166103,ZY21,"CGMCC 1.16343, NBRC 113439",1,"Halobellus captivus",GCA_007655485,aerobe
,,,,,VJXQ00000000,
133720,TBN53,"CGMCC 1.10331, JCM 16811",1,"Halobellus limi",2619618869,aerobe
,,,,,2914819717,
,,,,,FNVN00000000,
,,,,,GCA_004799685,
,,,,,GCA_900108165,
23056,"CSW2.24.4, 2.24.4","DSM 18730, CGMCC 1.10710, JCM 14359",1,"Halobellus salinus",2724679816,aerobe
,,,,,GCA_014646875,
2440,"SL 3201","DSM 11080, ATCC 700202",1,"Halochromatium glycolicum",85075.5,anaerobe
,,,,,GCA_016584085,
2441,JA134,"DSM 18859, ATCC BAA 1363, JCM 14151, CIP 109733",1,"Halochromatium roseum",391920.5,anaerobe
,,,,,GCA_016653315,
2439,,"DSM 4395, SG 3201",1,"Halochromatium salexigens",49447.5,anaerobe
,,,,,GCA_016653295,
164159,HArcel1,"JCM 31941, UNIQEM U975",1,"Halococcoides cellulosivorans",CP028858,aerobe
134189,100A6,"JCM 12892, ACM 5227, CIP 109336",1,"Halococcus hamelinensis",2502171174,aerobe
,,,,,2529292733,
,,,,,AJRK00000000,
,,,,,AOMB00000000,
,,,,,GCA_000259215,
,,,,,GCA_000336675,
130648,"RA2-3, RA2-3(T)","DSM 100421, KCTC 32362, NBRC 109999",1,"Halocynthiibacter namhaensis",2636415494,aerobe
,,,,,GCA_000812685,
4161,,"DSM 17919, ATCC 29578, NCIMB 9335, Sylt 3",1,"Halodesulfovibrio aestuarii",1121444.3,anaerobe
,,,,,2518645586,"obligate anaerobe"
,,,,,2585428154,
,,,,,876.10,
,,,,,GCA_000384815,
,,,,,GCA_900142115,
4126,W218,"DSM 10141",0,"Halodesulfovibrio aestuarii",1121434.3,anaerobe
,,,,,2524614816,
,,,,,GCA_000422525,
4153,"NMRC 101113, C/L 2","DSM 17456, JCM 14577, NBRC 101113",1,"Halodesulfovibrio marinisediminis",1121457.4,anaerobe
,,,,,2585428071,"obligate anaerobe"
,,,,,FSRG00000000,
,,,,,GCA_900129975,
133061,JC271,"DSM 100016, KCTC 15474",1,"Halodesulfovibrio spirochaetisodalis",2751185719,anaerobe
,,,,,GCA_001672295,"obligate anaerobe"
,,,,,JXMS00000000,
13515,,"DSM 45207, CCTCC AB 208140, YIM 93221",1,"Haloechinothrix alba",2724679784,aerobe
,,,,,664784.3,
,,,,,GCA_900188115,
13270,,"DSM 45216, KCTC 19403, YIM 93223, JCM 18118",1,"Haloechinothrix halophila",2512564011,aerobe
,,,,,592678.3,
,,,,,AZAK00000000,
,,,,,GCA_000504245,
24077,ZJ206,"DSM 27190, CGMCC 1.5347, JCM 13917",1,"Haloferax larsenii",2554235500,aerobe
,,,,,AOLI00000000,
,,,,,GCA_000336955,
24081,PA12,"DSM 27191, ATCC BAA 1512, JCM 14792, UNSW 104200, CGMCC 1.8488",1,"Haloferax mucosum",2508501020,aerobe
,,,,,2529293244,
,,,,,AOLN00000000,
17213,YC6886,"DSM 21608, KCTC 22447",1,"Haloferula luteola",2861254865,aerobe
,,,,,GCA_014201715,
134080,06SJR1-1,"MBIC 08340, KCTC 22201",1,"Haloferula rosea",490093.3,aerobe
,,,,,GCA_016595525,
133412,XJ16,"KCTC 42259, MCCC 1H00120, CICC 23817",1,"Halofilum ochraceum",GCA_001614315,"facultative anaerobe"
133594,RO1-6,"CGMCC 1.8711, JCM 16054",1,"Halogeometricum limi",2617270895,aerobe
,,,,,FOYS00000000,
,,,,,GCA_900115785,
134312,BZ256,"KCTC 4017, JCM 14848",1,"Halogeometricum pallidum",2554235507,aerobe
,,,,,AOIV00000000,
,,,,,AOIV01000000,
,,,,,GCA_000337095,
133607,RO1-4,"CGMCC 1.7736, JCM 15770",1,"Halogeometricum rufum",2617270920,aerobe
,,,,,FOYT00000000,
,,,,,GCA_900112175,
